,ID,rownum,colnum,LAT,LON
2175,2175.0,43.0,25.0,37.92064145275391,112.31561087521298
2176,2176.0,43.0,26.0,37.92161932447212,112.41853749894487
2177,2177.0,43.0,27.0,37.92250830985399,112.52146671339847
2178,2178.0,43.0,28.0,37.92330840573032,112.62439827195077
2179,2179.0,43.0,29.0,37.92401960924881,112.72733192794504
2180,2180.0,43.0,30.0,37.92464191787405,112.8302674346944
2181,2181.0,43.0,31.0,37.925175329387386,112.93320454548532
2182,2182.0,43.0,32.0,37.92561984188724,113.03614301358122
2183,2183.0,43.0,33.0,37.92597545378884,113.13908259222603
2184,2184.0,43.0,34.0,37.92624216382438,113.24202303464766
2185,2185.0,43.0,35.0,37.92641997104301,113.34496409406158
2186,2186.0,43.0,36.0,37.92650887481079,113.44790552367444
2187,2187.0,43.0,37.0,37.92650887481079,113.55084707668755
2188,2188.0,43.0,38.0,37.92641997104301,113.65378850630042
2189,2189.0,43.0,39.0,37.92624216382438,113.75672956571434
2190,2190.0,43.0,40.0,37.92597545378884,113.85967000813596
2191,2191.0,43.0,41.0,37.92561984188724,113.96260958678076
2192,2192.0,43.0,42.0,37.925175329387386,114.06554805487666
2193,2193.0,43.0,43.0,37.92464191787405,114.16848516566759
2194,2194.0,43.0,44.0,37.92401960924881,114.27142067241694
2195,2195.0,43.0,45.0,37.92330840573032,114.37435432841121
2196,2196.0,43.0,46.0,37.92250830985399,114.47728588696351
2197,2197.0,43.0,47.0,37.92161932447212,114.58021510141712
2198,2198.0,43.0,48.0,37.92064145275391,114.683141725149
2199,2199.0,43.0,49.0,37.919574698185365,114.78606551157341
2200,2200.0,44.0,0.0,37.948457957000294,109.73989576058936
2201,2201.0,44.0,1.0,37.95165950210567,109.84278994093496
2202,2202.0,44.0,2.0,37.95477224673397,109.94569288498666
2203,2203.0,44.0,3.0,37.95779617979352,110.04860434730995
2204,2204.0,44.0,4.0,37.960731290508654,110.15152408234806
2205,2205.0,44.0,5.0,37.96357756841962,110.25445184442547
2206,2206.0,44.0,6.0,37.96633500338288,110.35738738775136
2207,2207.0,44.0,7.0,37.96900358557096,110.46033046642312
2208,2208.0,44.0,8.0,37.97158330547274,110.56328083442986
2209,2209.0,44.0,9.0,37.97407415389338,110.666238245656
2210,2210.0,44.0,10.0,37.97647612195451,110.76920245388465
2211,2211.0,44.0,11.0,37.97878920109413,110.87217321280121
2212,2212.0,44.0,12.0,37.98101338306689,110.9751502759969
2213,2213.0,44.0,13.0,37.983148659943936,111.07813339697228
2214,2214.0,44.0,14.0,37.98519502411317,111.18112232914072
2215,2215.0,44.0,15.0,37.987152468279184,111.28411682583202
2216,2216.0,44.0,16.0,37.98902098546336,111.3871166402959
2217,2217.0,44.0,17.0,37.990800569003916,111.49012152570555
2218,2218.0,44.0,18.0,37.99249121255594,111.59313123516111
2219,2219.0,44.0,19.0,37.9940929100915,111.69614552169335
2220,2220.0,44.0,20.0,37.99560565589961,111.7991641382671
2221,2221.0,44.0,21.0,37.99702944458632,111.90218683778484
2222,2222.0,44.0,22.0,37.99836427107478,112.00521337309021
2223,2223.0,44.0,23.0,37.99961013060524,112.10824349697168
2224,2224.0,44.0,24.0,38.000767018735104,112.21127696216593
2225,2225.0,44.0,25.0,38.00183493133888,112.3143135213616
2226,2226.0,44.0,26.0,38.002813864608456,112.41735292720263
2227,2227.0,44.0,27.0,38.00370381505282,112.52039493229206
2228,2228.0,44.0,28.0,38.004504779498305,112.62343928919543
2229,2229.0,44.0,29.0,38.005216755088504,112.72648575044437
2230,2230.0,44.0,30.0,38.00583973928435,112.82953406854016
2231,2231.0,44.0,31.0,38.00637372986416,112.93258399595739
2232,2232.0,44.0,32.0,38.00681872492349,113.03563528514738
2233,2233.0,44.0,33.0,38.0071747228754,113.13868768854188
2234,2234.0,44.0,34.0,38.00744172245026,113.24174095855652
2235,2235.0,44.0,35.0,38.00761972269584,113.34479484759449
2236,2236.0,44.0,36.0,38.007708722977355,113.44784910805001
2237,2237.0,44.0,37.0,38.007708722977355,113.55090349231199
2238,2238.0,44.0,38.0,38.00761972269584,113.6539577527675
2239,2239.0,44.0,39.0,38.00744172245026,113.75701164180546
2240,2240.0,44.0,40.0,38.0071747228754,113.8600649118201
2241,2241.0,44.0,41.0,38.00681872492349,113.9631173152146
2242,2242.0,44.0,42.0,38.00637372986416,114.0661686044046
2243,2243.0,44.0,43.0,38.00583973928435,114.16921853182183
2244,2244.0,44.0,44.0,38.005216755088504,114.27226684991763
2245,2245.0,44.0,45.0,38.004504779498305,114.37531331116655
2246,2246.0,44.0,46.0,38.00370381505282,114.47835766806992
2247,2247.0,44.0,47.0,38.002813864608456,114.58139967315935
2248,2248.0,44.0,48.0,38.00183493133888,114.68443907900041
2249,2249.0,44.0,49.0,38.000767018735104,114.78747563819606
2250,2250.0,45.0,0.0,38.02959260773181,109.73577498353066
2251,2251.0,45.0,1.0,38.03279762495978,109.8387817153459
2252,2252.0,45.0,2.0,38.03591374544993,109.94179723968904
2253,2253.0,45.0,3.0,38.03894095809483,110.04482131032157
2254,2254.0,45.0,4.0,38.04187925210346,110.14785368088202
2255,2255.0,45.0,5.0,38.04472861700114,110.25089410488954
2256,2256.0,45.0,6.0,38.047489042629884,110.35394233574726
2257,2257.0,45.0,7.0,38.05016051914827,110.45699812674602
2258,2258.0,45.0,8.0,38.05274303703158,110.56006123106775
2259,2259.0,45.0,9.0,38.05523658707194,110.66313140178906
2260,2260.0,45.0,10.0,38.05764116037821,110.76620839188475
2261,2261.0,45.0,11.0,38.05995674837627,110.86929195423139
2262,2262.0,45.0,12.0,38.062183342809014,110.9723818416108
2263,2263.0,45.0,13.0,38.06432093573632,111.07547780671365
2264,2264.0,45.0,14.0,38.0663695195352,111.17857960214299
2265,2265.0,45.0,15.0,38.06832908689984,111.28168698041782
2266,2266.0,45.0,16.0,38.07019963084167,111.38479969397656
2267,2267.0,45.0,17.0,38.07198114468948,111.48791749518074
2268,2268.0,45.0,18.0,38.07367362208924,111.59104013631848
2269,2269.0,45.0,19.0,38.07527705700447,111.69416736960805
2270,2270.0,45.0,20.0,38.07679144371601,111.79729894720147
2271,2271.0,45.0,21.0,38.07821677682225,111.90043462118804
2272,2272.0,45.0,22.0,38.07955305123908,112.00357414359797
2273,2273.0,45.0,23.0,38.08080026219997,112.1067172664059
2274,2274.0,45.0,24.0,38.081958405255975,112.20986374153448
2275,2275.0,45.0,25.0,38.08302747627578,112.31301332085795
2276,2276.0,45.0,26.0,38.084007471445744,112.41616575620576
2277,2277.0,45.0,27.0,38.08489838726999,112.5193207993661
2278,2278.0,45.0,28.0,38.08570022057024,112.62247820208947
2279,2279.0,45.0,29.0,38.08641296848606,112.72563771609234
2280,2280.0,45.0,30.0,38.087036628474735,112.82879909306064
2281,2281.0,45.0,31.0,38.08757119831141,112.9319620846534
2282,2282.0,45.0,32.0,38.08801667608897,113.03512644250637
2283,2283.0,45.0,33.0,38.08837306021818,113.13829191823548
2284,2284.0,45.0,34.0,38.088640349427585,113.24145826344059
2285,2285.0,45.0,35.0,38.08881854276362,113.34462522970894
2286,2286.0,45.0,36.0,38.088907639590566,113.44779256861882
2287,2287.0,45.0,37.0,38.088907639590566,113.55096003174316
2288,2288.0,45.0,38.0,38.08881854276362,113.65412737065306
2289,2289.0,45.0,39.0,38.088640349427585,113.75729433692139
2290,2290.0,45.0,40.0,38.08837306021818,113.8604606821265
2291,2291.0,45.0,41.0,38.08801667608897,113.96362615785561
2292,2292.0,45.0,42.0,38.08757119831141,114.06679051570858
2293,2293.0,45.0,43.0,38.087036628474735,114.16995350730134
2294,2294.0,45.0,44.0,38.08641296848606,114.27311488426966
2295,2295.0,45.0,45.0,38.08570022057024,114.37627439827253
2296,2296.0,45.0,46.0,38.08489838726999,114.4794318009959
2297,2297.0,45.0,47.0,38.084007471445744,114.58258684415622
