,id,row,col,LAT,LON
1833,1833.0,29.0,6.0,38.017277349695675,111.4550393380086
1834,1834.0,29.0,7.0,38.017860873178144,111.48938738565347
1835,1835.0,29.0,8.0,38.018434510864886,111.52373596989159
1836,1836.0,29.0,9.0,38.01899826252856,111.55808508156677
1837,1837.0,29.0,10.0,38.019552127945914,111.59243471152196
1838,1838.0,29.0,11.0,38.0200961068974,111.62678485059928
1839,1839.0,29.0,12.0,38.02063019916753,111.66113548964007
1840,1840.0,29.0,13.0,38.02115440454468,111.69548661948483
1841,1841.0,29.0,14.0,38.02166872282113,111.72983823097329
1842,1842.0,29.0,15.0,38.02217315379312,111.7641903149444
1843,1843.0,29.0,16.0,38.02266769726075,111.79854286223637
1844,1844.0,29.0,17.0,38.02315235302811,111.83289586368666
1845,1845.0,29.0,18.0,38.02362712090313,111.867249310132
1846,1846.0,29.0,19.0,38.02409200069766,111.9016031924084
1847,1847.0,29.0,20.0,38.024546992227556,111.93595750135121
1848,1848.0,29.0,21.0,38.02499209531249,111.97031222779502
1849,1849.0,29.0,22.0,38.02542730977611,112.00466736257384
1850,1850.0,29.0,23.0,38.02585263544596,112.03902289652096
1851,1851.0,29.0,24.0,38.026268072153506,112.07337882046907
1852,1852.0,29.0,25.0,38.02667361973408,112.10773512525023
1853,1853.0,29.0,26.0,38.02706927802706,112.14209180169586
1854,1854.0,29.0,27.0,38.027455046875616,112.17644884063681
1855,1855.0,29.0,28.0,38.02783092612688,112.21080623290334
1856,1856.0,29.0,29.0,38.028196915631916,112.24516396932516
1857,1857.0,29.0,30.0,38.02855301524568,112.27952204073141
1858,1858.0,29.0,31.0,38.0288992248271,112.31388043795071
1859,1859.0,29.0,32.0,38.02923554423894,112.34823915181114
1860,1860.0,29.0,33.0,38.029561973347946,112.3825981731403
1861,1861.0,29.0,34.0,38.02987851202473,112.41695749276522
1862,1862.0,29.0,35.0,38.0301851601439,112.45131710151259
1863,1863.0,29.0,36.0,38.03048191758391,112.4856769902085
1864,1864.0,29.0,37.0,38.03076878422716,112.52003714967867
1865,1865.0,29.0,38.0,38.03104575995999,112.55439757074836
1866,1866.0,29.0,39.0,38.0313128446726,112.58875824424243
1867,1867.0,29.0,40.0,38.0315700382592,112.62311916098531
1868,1868.0,29.0,41.0,38.03181734061783,112.65748031180104
1869,1869.0,29.0,42.0,38.03205475165049,112.6918416875133
1870,1870.0,29.0,43.0,38.032282271263114,112.72620327894543
1871,1871.0,29.0,44.0,38.03249989936548,112.76056507692039
1872,1872.0,29.0,45.0,38.03270763587142,112.79492707226079
1873,1873.0,29.0,46.0,38.03290548069857,112.82928925578898
1874,1874.0,29.0,47.0,38.03309343376852,112.86365161832697
1875,1875.0,29.0,48.0,38.03327149500681,112.89801415069651
1876,1876.0,29.0,49.0,38.03343966434285,112.93237684371904
1877,1877.0,29.0,50.0,38.033597941710006,112.96673968821578
1878,1878.0,29.0,51.0,38.03374632704553,113.00110267500769
1879,1879.0,29.0,52.0,38.033884820290666,113.0354657949155
1880,1880.0,29.0,53.0,38.03401342139046,113.06982903875972
1881,1881.0,29.0,54.0,38.03413213029402,113.10419239736069
1882,1882.0,29.0,55.0,38.03424094695423,113.13855586153855
1883,1883.0,29.0,56.0,38.03433987132802,113.17291942211324
1884,1884.0,29.0,57.0,38.03442890337615,113.20728306990459
1885,1885.0,29.0,58.0,38.034508043063376,113.2416467957323
1886,1886.0,29.0,59.0,38.034577290358264,113.27601059041588
1887,1887.0,29.0,60.0,38.03463664523347,113.3103744447748
1888,1888.0,29.0,61.0,38.034686107665394,113.34473834962836
1889,1889.0,29.0,62.0,38.03472567763446,113.37910229579586
1890,1890.0,30.0,0.0,38.04062726287217,111.24814034192246
1891,1891.0,30.0,1.0,38.041270328476244,111.28249752083363
1892,1892.0,30.0,2.0,38.041903506158576,111.31685529190523
1893,1893.0,30.0,3.0,38.04252679566826,111.35121364597643
1894,1894.0,30.0,4.0,38.04314019675835,111.38557257388544
1895,1895.0,30.0,5.0,38.043743709185776,111.41993206646961
1896,1896.0,30.0,6.0,38.044337332711436,111.45429211456529
1897,1897.0,30.0,7.0,38.044921067100056,111.48865270900801
1898,1898.0,30.0,8.0,38.04549491212038,111.52301384063243
1899,1899.0,30.0,9.0,38.04605886754497,111.55737550027229
1900,1900.0,30.0,10.0,38.046612933150406,111.59173767876052
1901,1901.0,30.0,11.0,38.047157108717116,111.62610036692926
1902,1902.0,30.0,12.0,38.04769139402946,111.66046355560975
1903,1903.0,30.0,13.0,38.048215788875765,111.69482723563247
1904,1904.0,30.0,14.0,38.04873029304813,111.72919139782714
1905,1905.0,30.0,15.0,38.04923490634277,111.76355603302265
1906,1906.0,30.0,16.0,38.04972962855966,111.7979211320472
1907,1907.0,30.0,17.0,38.05021445950278,111.83228668572816
1908,1908.0,30.0,18.0,38.050689398980005,111.86665268489227
1909,1909.0,30.0,19.0,38.05115444680311,111.90101912036546
1910,1910.0,30.0,20.0,38.051609602787785,111.93538598297305
1911,1911.0,30.0,21.0,38.0520548667537,111.9697532635396
1912,1912.0,30.0,22.0,38.05249023852435,112.00412095288904
1913,1913.0,30.0,23.0,38.05291571792724,112.03848904184464
1914,1914.0,30.0,24.0,38.053331304793765,112.07285752122904
1915,1915.0,30.0,25.0,38.05373699895916,112.1072263818642
1916,1916.0,30.0,26.0,38.0541328002627,112.14159561457156
1917,1917.0,30.0,27.0,38.05451870854751,112.17596521017187
1918,1918.0,30.0,28.0,38.05489472366068,112.21033515948535
1919,1919.0,30.0,29.0,38.05526084545317,112.24470545333168
1920,1920.0,30.0,30.0,38.055617073779835,112.27907608252993
1921,1921.0,30.0,31.0,38.05596340849957,112.31344703789863
1922,1922.0,30.0,32.0,38.05629984947508,112.34781831025583
1923,1923.0,30.0,33.0,38.05662639657305,112.38218989041906
1924,1924.0,30.0,34.0,38.05694304966403,112.41656176920534
1925,1925.0,30.0,35.0,38.05724980862253,112.45093393743122
1926,1926.0,30.0,36.0,38.057546673327,112.48530638591278
1927,1927.0,30.0,37.0,38.05783364365975,112.51967910546568
1928,1928.0,30.0,38.0,38.05811071950707,112.5540520869051
1929,1929.0,30.0,39.0,38.05837790075913,112.58842532104583
1930,1930.0,30.0,40.0,38.05863518731006,112.62279879870225
1931,1931.0,30.0,41.0,38.058882579057844,112.65717251068835
1932,1932.0,30.0,42.0,38.0591200759045,112.69154644781771
1933,1933.0,30.0,43.0,38.05934767775583,112.72592060090363
1934,1934.0,30.0,44.0,38.05956538452167,112.76029496075897
1935,1935.0,30.0,45.0,38.059773196115714,112.79466951819632
1936,1936.0,30.0,46.0,38.05997111245559,112.82904426402794
